id,key,value,type
250325357,created_by,JOSM,regular
250325358,created_by,JOSM,regular
250325362,created_by,JOSM,regular
250325370,highway,traffic_signals,regular
250340650,created_by,JOSM,regular
250340650,name,Mercadona,regular
250340650,shop,supermarket,regular
250347127,name,Lidl,regular
250347127,shop,supermarket,regular
250347127,wheelchair,yes,regular
250962327,ele,83.638914,regular
250962328,ele,87.830224,regular
250962329,ele,86.96906819663086,regular
250962331,ele,90.704436,regular
250962332,ele,94.743225,regular
250962334,ele,89.49565534357265,regular
250962334,highway,motorway_junction,regular
250962334,ref,68,regular
250962335,ele,96.707599,regular
250962337,ele,97.898499847719,regular
250962338,ele,98.02801208134478,regular
250962340,ele,98.11489713211824,regular
250962341,ele,98.23464795604953,regular
250962342,ele,98.40646619688978,regular
250962343,ele,98.40322,regular
250962344,ele,98.91333509521625,regular
250962345,ele,98.40322,regular
250962346,ele,97.397226,regular
250962347,ele,97.27192242745181,regular
250962348,ele,97.46979520934963,regular
250962349,ele,96.707599,regular
250962351,ele,98.137467,regular
250962354,ele,93.383596,regular
250962355,ele,95.777453,regular
250962356,ele,95.29858785684374,regular
250962357,created_by,JOSM,regular
250962357,ele,94.80701517200495,regular
250962358,created_by,JOSM,regular
250962358,ele,95.0833929235957,regular
250962359,created_by,JOSM,regular
250962359,ele,94.61616193760507,regular
250962360,created_by,JOSM,regular
250962360,ele,93.65930232164757,regular
250962361,ele,92.66006916864637,regular
250963364,highway,traffic_signals,regular
251212746,highway,motorway_junction,regular
251212746,name,1,regular
251212767,highway,crossing,regular
251212777,created_by,JOSM,regular
251216015,crossing,uncontrolled,regular
251216015,highway,crossing,regular
251216092,ele,95.02745,regular
251216094,ele,95.32253678926239,regular
251216096,ele,89.50951993875559,regular
251216097,ele,89.34466596626713,regular
251216098,ele,88.85731868500628,regular
251216099,ele,88.37846542358757,regular
251216100,ele,88.04302191021719,regular
251216141,highway,crossing,regular
253223409,exit_to,Torremolinos;MA-20 Málaga (oeste); Aeropuerto de Málaga,regular
253223409,highway,motorway_junction,regular
253223409,ref,226,regular
253231449,created_by,JOSM,regular
253231454,created_by,JOSM,regular
253231464,created_by,JOSM,regular
253231468,created_by,JOSM,regular
253231494,created_by,JOSM,regular
253231500,created_by,JOSM,regular
253231508,created_by,JOSM,regular
253231555,exit_to,Limonar,regular
253231555,highway,motorway_junction,regular
253231555,ref,244,regular
253231565,created_by,JOSM,regular
253233379,created_by,JOSM,regular
253233427,created_by,JOSM,regular
